>>> p.sort_stats(SortKey.CUMULATIVE).print_stats(100)
Thu Sep 17 17:38:30 2020    test.profile

         6605762 function calls (6357251 primitive calls) in 136.834 seconds

   Ordered by: cumulative time
   List reduced from 2197 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  121.081  121.081 /usr/local/lib/python3.6/site-packages/gunicorn/workers/ggevent.py:90(run)
     61/1    0.002    0.000  121.080  121.080 /usr/local/lib/python3.6/site-packages/gevent/hub.py:166(sleep)
  4920/10    0.275    0.000  120.176   12.018 /usr/local/lib/python3.6/site-packages/couchdb/http.py:577(_request)
   4918/7    0.247    0.000  120.087   17.155 /usr/local/lib/python3.6/site-packages/couchdb/http.py:591(_request_json)
    536/1    0.027    0.000  120.044  120.044 /usr/local/lib/python3.6/site-packages/pyramid/view.py:507(_call_view)
    528/1    0.023    0.000  120.042  120.042 /usr/local/lib/python3.6/site-packages/pyramid/config/views.py:179(__call__)
    814/2    0.046    0.000  120.040   60.020 /usr/local/lib/python3.6/site-packages/pyramid/viewderivers.py:392(attr_view)
    814/2    0.038    0.000  120.040   60.020 /usr/local/lib/python3.6/site-packages/pyramid/viewderivers.py:364(predicate_wrapper)
    528/1    0.044    0.000  120.034  120.034 /usr/local/lib/python3.6/site-packages/pyramid/viewderivers.py:441(rendered_view)
    528/1    0.023    0.000  120.034  120.034 /usr/local/lib/python3.6/site-packages/pyramid/viewderivers.py:145(_requestonly_view)
    528/1    0.048    0.000  120.034  120.034 /usr/local/lib/python3.6/site-packages/cornice/service.py:532(wrapper)
    537/1    0.061    0.000  119.984  119.984 /usr/local/lib/python3.6/site-packages/pyramid/router.py:66(handle_request)
    538/1    0.024    0.000  119.907  119.907 /usr/local/lib/python3.6/site-packages/pyramid_exclog/__init__.py:108(exclog_tween)
    539/1    0.060    0.000  119.870  119.870 /usr/local/lib/python3.6/site-packages/pyramid/router.py:179(invoke_subrequest)
    539/1    0.023    0.000  119.863  119.863 /usr/local/lib/python3.6/site-packages/pyramid/tweens.py:19(excview_tween)
    540/1    0.024    0.000  119.825  119.825 /usr/local/lib/python3.6/site-packages/webob/request.py:1256(call_application)
    540/1    0.038    0.000  119.825  119.825 /usr/local/lib/python3.6/site-packages/pyramid/router.py:227(__call__)
    541/1    0.030    0.000  119.771  119.771 /usr/local/lib/python3.6/site-packages/gunicorn/workers/ggevent.py:157(handle_request)
    541/1    0.139    0.000  119.771  119.771 /usr/local/lib/python3.6/site-packages/gunicorn/workers/base_async.py:89(handle_request)
    541/1    0.086    0.000  119.769  119.769 /usr/local/lib/python3.6/site-packages/webob/dec.py:108(__call__)
