>>> p.sort_stats(SortKey.CUMULATIVE).print_stats(100)
Thu Sep 17 17:23:53 2020    mongo.profile

         5632661 function calls (5299957 primitive calls) in 135.445 seconds

   Ordered by: cumulative time
   List reduced from 2544 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  120.453  120.453 /app/openprocurement/audit/api/app.py:33(foo)
    121/1    0.006    0.000  120.453  120.453 /usr/local/lib/python3.6/site-packages/gevent/hub.py:166(sleep)
    12/10    0.002    0.000  115.500   11.550 /usr/local/lib/python3.6/site-packages/pymongo/monitor.py:166(_run)
    614/1    0.028    0.000   95.572   95.572 /usr/local/lib/python3.6/site-packages/gunicorn/workers/ggevent.py:157(handle_request)
    614/1    0.170    0.000   95.572   95.572 /usr/local/lib/python3.6/site-packages/gunicorn/workers/base_async.py:89(handle_request)
    614/1    0.091    0.000   95.570   95.570 /usr/local/lib/python3.6/site-packages/webob/dec.py:108(__call__)
    614/1    0.026    0.000   95.569   95.569 /usr/local/lib/python3.6/site-packages/webob/dec.py:190(call_func)
    614/1    0.071    0.000   95.569   95.569 /usr/local/lib/python3.6/site-packages/request_id_middleware/middleware.py:31(__call__)
    614/1    0.033    0.000   95.568   95.568 /usr/local/lib/python3.6/site-packages/webob/request.py:1294(send)
    614/1    0.029    0.000   95.568   95.568 /usr/local/lib/python3.6/site-packages/webob/request.py:1256(call_application)
    614/1    0.034    0.000   95.568   95.568 /usr/local/lib/python3.6/site-packages/pyramid/router.py:227(__call__)
    614/1    0.079    0.000   95.568   95.568 /usr/local/lib/python3.6/site-packages/pyramid/router.py:179(invoke_subrequest)
    614/1    0.026    0.000   95.563   95.563 /usr/local/lib/python3.6/site-packages/pyramid/tweens.py:19(excview_tween)
    614/1    0.026    0.000   95.563   95.563 /usr/local/lib/python3.6/site-packages/pyramid_exclog/__init__.py:108(exclog_tween)
    614/1    0.076    0.000   95.563   95.563 /usr/local/lib/python3.6/site-packages/pyramid/router.py:66(handle_request)
